INCIDENT_KEY,OCCUR_DATE,OCCUR_TIME,Hour,BORO,STATISTICAL_MURDER_FLAG,Latitude,Longitude,Incidents1,NonMurders1,Murders1,Incidents2,Victims2,Mass2,Victims3,Mass3,MonYr,MonYrAxis,MonthNum,YearNum,firstAppear,Num_Vic,Odd_Even_Vic
10187497,1/19/2006,20:23:00,8 PM,MANHATTAN,FALSE,40.81054097,-73.9392571,1,1,0,1,1,1,0,0,1/1/2006,38718,1,6,1,4,FALSE
10333325,2/4/2006,3:30:00,3 AM,BRONX,FALSE,40.8110197,-73.85587676,1,1,0,1,1,1,1,1,2/1/2006,38749,2,6,1,4,FALSE
10454371,2/17/2006,23:57:00,11 PM,BRONX,TRUE,40.81251902,-73.9028121,1,0,1,1,1,1,1,0,2/1/2006,38749,2,6,1,4,FALSE
10660750,3/9/2006,16:40:00,4 PM,BROOKLYN,FALSE,40.68746394,-73.95285752,1,1,0,1,1,1,0,0,3/1/2006,38777,3,6,1,4,FALSE
10804586,3/25/2006,5:26:00,5 AM,BROOKLYN,FALSE,40.65158333,-73.96130098,1,1,0,1,1,1,0,0,3/1/2006,38777,3,6,1,4,FALSE
10879213,4/1/2006,13:15:00,1 PM,BROOKLYN,FALSE,40.6666543,-73.8820825,1,1,0,1,1,1,0,0,4/1/2006,38808,4,6,1,4,FALSE
10879222,4/2/2006,6:15:00,6 AM,BRONX,FALSE,40.86383869,-73.83369176,1,1,0,1,1,1,0,0,4/1/2006,38808,4,6,1,4,FALSE
11118201,4/20/2006,22:49:00,10 PM,BRONX,FALSE,40.87016769,-73.89097777,1,1,0,1,1,1,1,1,4/1/2006,38808,4,6,1,6,FALSE
11118204,4/21/2006,18:20:00,6 PM,BROOKLYN,TRUE,40.6725737,-73.91017798,1,0,1,1,1,1,1,1,4/1/2006,38808,4,6,1,8,FALSE
11118232,4/26/2006,18:26:00,6 PM,QUEENS,TRUE,40.72020175,-73.74239028,1,0,1,1,1,1,1,0,4/1/2006,38808,4,6,1,4,FALSE
11118244,4/30/2006,19:00:00,7 PM,STATEN ISLAND,FALSE,40.62141693,-74.08007761,1,1,0,1,1,1,1,1,4/1/2006,38808,4,6,1,4,FALSE
12835953,5/5/2006,21:00:00,9 PM,BROOKLYN,FALSE,40.64830792,-73.89553721,1,1,0,1,1,1,1,1,5/1/2006,38838,5,6,1,4,FALSE
12835945,5/7/2006,11:34:00,11 AM,BROOKLYN,TRUE,40.66805904,-73.89874761,1,0,1,1,1,1,1,0,5/1/2006,38838,5,6,1,6,FALSE
16631460,5/23/2006,23:03:00,11 PM,MANHATTAN,FALSE,40.74772704,-74.00631929,1,1,0,1,1,1,0,0,5/1/2006,38838,5,6,1,6,FALSE
16814010,6/12/2006,20:45:00,8 PM,BRONX,TRUE,40.86526312,-73.89641662,1,0,1,1,1,1,1,0,6/1/2006,38869,6,6,1,6,FALSE
16814011,6/13/2006,20:56:00,8 PM,BROOKLYN,TRUE,40.64193954,-73.95840838,1,0,1,1,1,1,1,0,6/1/2006,38869,6,6,1,4,FALSE
16814031,6/18/2006,3:43:00,3 AM,MANHATTAN,FALSE,40.82867409,-73.94399062,1,1,0,1,1,1,0,0,6/1/2006,38869,6,6,1,4,FALSE
23354062,6/28/2006,22:56:00,10 PM,MANHATTAN,FALSE,40.81593041,-73.94516645,1,1,0,1,1,1,0,0,6/1/2006,38869,6,6,1,6,FALSE
23354084,7/1/2006,4:30:00,4 AM,BRONX,TRUE,40.8161219,-73.8977578,1,0,1,1,1,1,1,1,7/1/2006,38899,7,6,1,8,FALSE
